Disease,Study Name,Eligibility Criteria
Hypertension,Electrical Stimulation for the Treatment of Optic Neuropathies,"Inclusion Criteria:

1. Participant must be at least 18.
2. Participant must has the ability to comply with the requirements of the study and complete the schedule of events (SOE).
3. Participant's clinical diagnosis must be consistent with glaucoma characterized by the following features: Mean deviation (MD) worse than -3 on Humphrey Visual Field 24-2 testing. Reliable visual field measures, fixation losses do not exceed 20% and false postivies do not exeed 20%.
4. In the opinion of the investigator the participant's eye pressure must be clinically stable.
5. If a participant has two eyes meeting study criteria, the worse eye as determined by mean deviation. If both eyes qualify and have the same MD, the patient may choose which eye they are willing to enter, or else a randomization procedure will assign one eye to the study.
6. Participant must understand and sign the informed consent. If the participant's vision is impaired to the point where he/she cannot read the informed consent document, the document will be read to the participant in its entirety.

Exclusion Criteria:

1. Participant is unable to comply with study procedures or follow-up visits.
2. Participant has a history of ocular herpes zoster.
3. Participant has pathological nystagmus
4. Participant has evidence of visually significant retinopathy including but not limited to Diabetic retinopathy or retinitis pigmentosa.
5. Participant has evidence of corneal opacification or lack of optical clarity.
6. Participant has uveitis or other ocular inflammatory disease.
7. Participant has any electric or electroinc implants such as a pacemaker.
8. Participant has acute conjunctivitis.
9. Participant has acute autoimmune disease.
10. Participant is pregnant or lactating.
11. Participant has, in the opinion of the investigator, any physical or mental condition that would increase the risk of participation in the study or may interfere with the study procedures, evaluations and outcome assessments. Including but not limited to all forms of dementia.
12. Unresected brain tumors
13. Implanted intracranial magnetic metals (metallic implants in the head / skull such as clamps, coils, ventriculo-peritoneal shunts, endoprostheses, etc.), which are not MRI-compatible. Note: metallic dental implants and titanium screws or plates are acceptable
14. Patients with any skin damage.
15. Children and comatose patients.
16. Patients with history of epileptic seizure within the last 10 years.
17. Patients with uncontrolled systemic hypertension or uncontrolled diabetes.
18. Participant is not able to travel, to comply with the requirements of the study or not willing to complete the schedule of events (SOE) and/or unable to confirm follow-up participation
19. Prior participation in a vision training/stimulation study in the last 12 months"
Hypertension,Efficacy Study of Cardizem in Pulmonary Arterial Hypertension,"Inclusion Criteria:

* Adult participants
* Confirmed WHO class I pulmonary arterial hypertension
* Nitric Oxide Non-Responders on right heart catheterization
* Experience dyspnea, NYHA III-IV with poor oxygenation and quality of life despite standard treatments
* Must be able to swallow medications

Exclusion Criteria:

* Pulmonary hypertension secondary to 1) elevations in pulmonary venous pressures (i.e. left heart disease), 2) chronic hypoxemic states from lung diseases such as COPD, sleep-disordered breathing, alveolar hypoventilation disorders, chronic exposure to high altitude and developmental abnormalities 3) chronic thromboembolic disease, 4) sarcoidosis, 5) Lymphangiomyomatosis, 5) Pulmonary Langerhans Cell Histiocytosis
* Already on a calcium channel blocker
* Systolic blood pressure less than 90
* Heart rate less than 55
* Pregnant
* Cannot sign informed consent
* Right heart failure
* Pulmonary Veno-occlusive disease"
Hypertension,Study of CS-3150 in Patients With Severe Hypertension,"Inclusion Criteria:

* Male and female subjects aged 20 to 80 years at informed consent
* Subjects with severe hypertension, who do not receive any antihypertensive drugs or receive antihypertensive drug (except for potassium-sparing diuretics) during run-in period (Sitting SBP ≥ 180 mmHg or Sitting DBP ≥ 110 mmHg)

Exclusion Criteria:

* Patients who are suspected hypertensive emergency
* Secondary hypertension or malignant hypertension
* Diabetes mellitus with albuminuria
* Serum potassium level \< 3.5 or ≥ 5.1 mEq/L (≥ 4.8 mEq/L if receive RA inhibitor)
* eGFR \< 60 mL/min/1.73 m\^2."
Hypertension,Olive Leaf Extracts in the Control of Hypertension,"Inclusion Criteria:

* patients over 18 years of age with:

Arterial hypertension (hypertension)

Exclusion Criteria:

* . Exclusion criteria: None."
Hypertension,National Survey on Hypertension at Hospital,"Inclusion Criteria:

* Known hypertension
* agree to take part in this study

Exclusion Criteria:

* none"
Hypertension,Cardiac Metabolic Remodeling After Pulmonary Vasodilator Therapy in Pulmonary Arterial Hypertension: A Pilot Study,"Inclusion Criteria:

* World Health Organization(WHO) group PAH secondary into idiopathic pulmonary arterial hypertension(IPAH) or connective tissue disease associated pulmonary arterial hypertension (CTDPAH)
* New York Heart Association (NYHA) classification I - III heart failure
* Vasodilator therapy naive
* Able to provide informed consent

Exclusion Criteria:

* Metabolic disorders such as uncontrolled diabetes (A1c \> 8%) that may interfere with FDG uptake
* Baseline 6-minute walk distance (6MWD) \< 400 feet or NYHA class IV heart failure
* Musculoskeletal abnormalities that would prevent exercise
* Contraindications to MRI"
Hypertension,Esophageal Capsule Endoscopy in Children,"Inclusion Criteria:

* patients between 7 and 18 years old
* presenting a portal hypertension and/or cirrhosis
* patients who are referred for a conventional EGD under general sedation
* patients who are not participating in other clinical studies
* written informed consent obtained from the patient and his/her legal guardians.

Exclusion Criteria:

* patients presenting a contra indication for upper endoscopy or for the ingestion of the video capsule, especially those with clinical or radiological suspicion of upper gastrointestinal strictures (esophageal surgery or eosinophile esophagitys)
* patients presenting with dysphagia or gastrointestinal tract strictures (patients with Crohn's disease, small bowel carcinoma, stenosis due to the chronic use of a NSAI medication, acute necrotizing enterocolitis or prior abdominal surgery of the gastrointestinal tract); swallowing disorders with or without impaired consciousness;
* patients under calcium channel blocking agents medication;
* patient presenting with diverticulosis (Marphan's or Ehlers Danlos's syndrome)
* patients with cardiac pacemaker or other implanted electro medical device
* patients scheduled for a magnetic resonance imaging (MRI) examination within 7 days after ingestion of the capsule (and until the capsule is evacuated)
* any other life-threatening conditions."
Hypertension,A Novel Approach for Transjugular Intrahepatic Portocaval Shunt Creation Using Real-time Three Dimensional Roadmap,"Inclusion Criteria:

cirrhosis complications of portal hypertension requiring TIPS

Exclusion Criteria:

non-cirrhotic portal hypertension complete occlusion of intrahepatic portal vein gastro-renal shunt presence of liver tumor pregnancy other contradictions of TIPS"
Hypertension,Treatment of Pediatric Hypertension With Altace Trial,"Inclusion criteria:

* Males or females age 6 to 16 years. All female subjects ≥ 8 years of age must have a negative urine pregnancy test and must use an acceptable method of contraception, including abstinence, a barrier method (diaphragm or condom), Depo-Provera, or an oral contraceptive, for the duration of the study.
* Weight ≥ 20 kg.
* Parents/guardians must be able to demonstrate their ability to use the home blood pressure device to monitor blood pressure.
* Sitting systolic blood pressure or sitting diastolic blood pressure ≥ the 95th percentile for age, gender and height; or diabetes mellitus or chronic renal insufficiency (as evidenced by GFR 40-70 mL/min/1.73 m2) and a sitting systolic blood pressure or sitting diastolic blood pressure ≥ the 90th percentile for age, gender, and height.

Exclusion criteria:

* Severe hypertension documented by (1) Sitting systolic blood pressure or sitting diastolic blood pressure more than 20 mmHg above the 95th percentile for age, gender, and height without antihypertensive therapy, (2) Sitting systolic blood pressure or sitting diastolic blood pressure more than 12 mmHg above the 95th percentile for age, gender, and height while receiving active therapy, or (3) hypertensive encephalopathy within the previous 5 months.
* Currently receiving more than one antihypertensive medication including: ACE inhibitors, angiotensin receptor inhibitors, beta blockers, calcium channel blockers, diuretics.
* Receiving lithium, potassium supplements, monoamine oxidase inhibitors, or major tranquilizers (Note: Stimulant medications for behavioral disorders, corticosteroids, and non-steroidal anti-inflammatory agents for chronic pain management are permitted during the trial provided the subject's dosage is anticipated to remain unchanged throughout the duration of the study.)
* A history of cardiomyopathy, clinically significant structural heart disease or atrioventricular conduction disturbance, sick sinus syndrome, atrial flutter, atrial fibrillation, clinically significant bradycardia or an accessory bypass tract, or clinical symptoms of congestive heart failure."
Hypertension,"Efficacy and Safety of Azilsartan Medoxomil, Once Daily (QD), Co-Administered With Amlodipine in Participants With Essential Hypertension","Inclusion Criteria:

1. Has essential hypertension and 24-hour mean systolic blood pressure greater than or equal to 140 mm Hg and less than or equal to 180 mm Hg.
2. Females of childbearing potential who are sexually active must agree to use adequate contraception, and can neither be pregnant nor lactating from Screening throughout the duration of the study
3. Has clinical laboratory evaluations within the reference range for the testing laboratory or the results are deemed not clinically significant for inclusion into this study by the investigator.
4. Is willing to discontinue current antihypertensive medications.

Exclusion Criteria:

1. Has sitting trough clinic diastolic blood pressure greater than 119 mm Hg.
2. Has a baseline 24 hour ambulatory blood pressure monitoring reading of insufficient quality.
3. The subject is hypersensitive to angiotensin II receptor blockers or calcium channel blockers.
4. Has a recent history of myocardial infarction, heart failure, unstable angina, coronary artery bypass graft, percutaneous coronary intervention, hypertensive encephalopathy, cerebrovascular accident, or transient ischemic attack.
5. Has clinically significant cardiac conduction defects.
6. Has hemodynamically significant left ventricular outflow obstruction due to aortic valvular disease.
7. Has secondary hypertension of any etiology
8. Is non-compliant with study medication during placebo run-in period.
9. Has severe renal dysfunction or disease.
10. Has known or suspected unilateral or bilateral renal artery stenosis.
11. Has a history of drug abuse or a history of alcohol abuse within the past 2 years.
12. Has a previous history of cancer that has not been in remission for at least 5 years prior to the first dose of study drug.
13. Has type 1 or poorly controlled type 2 diabetes mellitus.
14. Has hyperkalemia as defined by the central laboratory normal reference range,
15. Has an alanine aminotransferase level of greater than 2.5 times the upper limit of normal, active liver disease or jaundice.
16. Has an upper arm circumference less than 24 cm or greater than 42 cm.
17. Works night (3rd) shift.
18. Currently participating in another investigational study or has participated in an investigational study within 30 days prior to randomization.
19. Has any other serious disease or condition that would compromise subject safety or make it difficult to successfully manage and follow the subject according to the protocol.
20. Has been randomized in a previous TAK-491 study.
21. Is required to take or continues taking any disallowed medication, prescription medication, herbal treatment or over-the counter medication that may interfere with evaluation of the study medication."
